ds,y
2026-06-01,771000.0
2026-06-02,765000.0
2026-06-03,627000.0
2026-06-04,680000.0
2026-06-05,685000.0
2026-06-06,980000.0
2026-06-07,973000.0
2026-06-08,677000.0
2026-06-09,719000.0
2026-06-10,718000.0
2026-06-11,763000.0
2026-06-12,681000.0
2026-06-13,1065000.0
2026-06-14,1039000.0
2026-06-15,716000.0
2026-06-16,653000.0
2026-06-17,673000.0
2026-06-18,707000.0
2026-06-19,731000.0
2026-06-20,1124000.0
2026-06-21,1127000.0
2026-06-22,711000.0
2026-06-23,704000.0
2026-06-24,795000.0
2026-06-25,779000.0
2026-06-26,753000.0
2026-06-27,1222000.0
2026-06-28,1033000.0
2026-06-29,814000.0
2026-06-30,748000.0
2026-07-01,801000.0
2026-07-02,928000.0
2026-07-03,756000.0
2026-07-04,1101000.0
2026-07-05,1076000.0
2026-07-06,802000.0
2026-07-07,795000.0
2026-07-08,892000.0
2026-07-09,793000.0
2026-07-10,702000.0
2026-07-11,1219000.0
2026-07-12,1193000.0
2026-07-13,787000.0
2026-07-14,799000.0
2026-07-15,1297000.0
2026-07-16,622000.0
2026-07-17,859000.0
2026-07-18,1175000.0
2026-07-19,1220000.0
2026-07-20,655000.0
2026-07-21,240000.0
2026-07-22,876000.0
2026-07-23,803000.0
2026-07-24,836000.0
2026-07-25,1124000.0
2026-07-26,488000.0
2026-07-27,823000.0
2026-07-28,874000.0
2026-07-29,838000.0
2026-07-30,884000.0
2026-07-31,290000.0
2026-08-01,1393000.0
2026-08-02,1324000.0
2026-08-03,818000.0
2026-08-04,296000.0
2026-08-05,0.0
2026-08-06,795000.0
2026-08-07,832000.0
2026-08-08,1244000.0
2026-08-09,876000.0
2026-08-10,80000.0
2026-08-11,889000.0
2026-08-12,891000.0
2026-08-13,873000.0
2026-08-14,651000.0
2026-08-15,261000.0
2026-08-16,1219000.0
2026-08-17,847000.0
2026-08-18,931000.0
2026-08-19,638000.0
2026-08-20,248000.0
2026-08-21,995000.0
2026-08-22,1051000.0
2026-08-23,1190000.0
2026-08-24,495000.0
2026-08-25,96000.0
2026-08-26,948000.0
2026-08-27,946000.0
2026-08-28,841000.0
2026-08-29,950000.0
