tanggal,jenis,kategori,deskripsi,produk_id,jumlah_unit,jumlah_rp
2026-06-01,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-06-01,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-06-01,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-06-01,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-06-01,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-01,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48127
2026-06-01,Pengeluaran,Lainnya,Sewa tempat bulanan,,,1500000
2026-06-02,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,22.0,264000
2026-06-02,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-06-02,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,9.0,90000
2026-06-02,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-06-02,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-06-02,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46274
2026-06-03,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-06-03,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,16.0,80000
2026-06-03,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,7.0,70000
2026-06-03,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-06-03,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,12.0,84000
2026-06-03,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52514
2026-06-04,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,16.0,192000
2026-06-04,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,18.0,90000
2026-06-04,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-06-04,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,12.0,180000
2026-06-04,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-06-04,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,38602
2026-06-05,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,17.0,204000
2026-06-05,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,23.0,115000
2026-06-05,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,8.0,80000
